stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,1.11,0,0,0.74,0,0,0
3Month,0.42,0.1,7.07,0.21,0.62,0.1,0.73,1.66,6.66,1.66,2.5,0.83,1.87,2.29,1.46,0.31,0.1,0.62,0.62,0.62,0.31,0.62,2.08,223.43,0.21,0.21,0,1.56,177.77,1.87
22Month,0,0,0,0,0,0,0,0,0.27,0.14,0.27,0,0,0,0.27,0,0,0,0,0,0.14,0.14,0.14,9.43,0,0,0,0,0.68,0
