stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0
21Day,0,0.37,0,0,0,2.22,0.37,0,0,0,0.37,0,0.74,0.74,0.37,0.37,0,0.74
3Month,0.83,0.94,0,0.21,0.62,8.11,0,0.42,0.1,0.31,0.52,0.21,4.78,0,1.25,0,0,0.83
22Month,0.27,0.41,0.27,0.68,1.23,7.79,0,0.27,0,0.14,0.82,0.55,5.19,0,0.82,0,0.14,0.82
