stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,4,0,19,1,0,0,3,0,0,0,0,5,4,8,36,0,0,7,179,9,0,0,2,0,0,0
72hpf,1.13,0,0,0.56,0.56,0,0,0,0,0,0,0,0.56,1.69,0,3.95,0,0,3.1,10.71,1.69,0,0,0,0,0,0
21Day,0.74,0,0,1.11,5.92,1.48,0,0,0,0.37,0.74,0.37,0,0,0.37,1.48,0,0,1.48,5.55,0,0,0.74,0,0,0,0.37
3Month,0,0,0,0.52,0,0,0.52,0,2.6,0.1,0.1,0.1,0.1,0,0.21,0.42,0,0.1,0.21,0.21,0,2.39,0,0,0.52,0.62,0.52
22Month,0,0,0.14,0,0,0,0,0,0.41,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0
