stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0
72hpf,16.35,0,0,1.41,0.56,1.13,0,0,0.28,0,0,0,0.28,0,0.56,0.28,0,1.69,0,0.28,0.28,6.48,4.79,0,0,2.82,0,0,1.13,0.28,0,0,0
21Day,17.39,0.37,0,3.7,0,1.48,0.37,0,0,0,0,0,0.37,0.37,0,1.48,0.74,1.85,0,0,0,1.11,1.11,0.37,0.37,0.37,0,0,0.37,0.37,0,0,1.85
3Month,0.42,0.42,0,5.41,0,0,0.1,0.62,0.31,0,1.04,0.31,0.1,0.73,0.1,0.21,0.62,0.1,0.21,0.52,0.21,0.31,0,0.31,0,0,0,0.73,0,0,0.21,0.62,1.04
22Month,0,0.14,0.14,2.32,0,0,0,2.46,1.5,0.41,5.33,0.14,0,1.23,0.14,0,0,0.14,0,0.68,0,0.41,0,0.27,0,0,0.14,0.27,0.27,0,0,0,0.96
