stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0,0,0.85,5.64,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,1.11,0,0.74,0,0,0,0,0,0,1.11,0,0,0,0.37,0.74,0,0,0.37,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,1.56,0.1,0,0.21,0.1,0.42,0,0.94,0,0,0.1,4.68,0.42,0.42,0.94,0,0,0,0.83,0.1,0,0.1,0,0.1,0.1,1.98,0,0,0,0.21,2.81,0.42
22Month,0,0,1.09,0,0,0.14,0.14,1.23,0.27,3.01,0.55,0.41,0.41,1.09,0.14,1.09,3.55,0.14,0.27,0.14,0.14,0.14,0,0.14,0.27,0,0,0.68,0,0.27,0.14,0.14,0,0.55
