stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,9,4,0,14,0,0,0,0,0,0,2,0,0,1,0,5,6,7,20,0,0,0,1,15,2057,0,4,0,0,0,0,2,0,0
72hpf,0.56,0.28,0,2.25,1.69,0,0,0,0,0,0,0,0,0,0,0,2.25,0.28,1.97,0,0.28,0,0,51.86,112.18,0,2.25,0,0,5.36,0,0,0,0
21Day,0,0,0.37,0.74,2.22,0,1.11,0,0,0,0,0,0,0.37,0.74,0,0.74,0,1.48,0,0,0.37,0,12.21,73.63,0.37,1.11,1.11,0,3.7,0.74,0,0,0.37
3Month,0,0,0,0.1,0,0,0,0,0.21,0,0,0.73,0.21,0,0.1,0.21,0,0.1,0.42,0.1,0,0,0,0,0,0,0.1,0,0.31,0,0,0,0,0
22Month,0,0.27,0,0.27,0,0.27,0,0.14,0.14,0.14,0,3.96,0,0,0,0,0.14,0.27,5.88,0,0,0,0,0,0,0,0,0,0.27,0.27,0,0.14,0.14,0.14
