stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,3.38,0.28,0,0,0,0.85,0,0,0,0,0,0
21Day,0.37,0,0,0,0,6.66,0,0.37,0,2.59,0,1.11,1.11,0.37,0.37,0.37,0,0.37,0.37,0,5.92
3Month,0,0.1,0.31,0.1,0.21,0,0,0.1,0.31,0.21,0,0,0,0,0,0,0.1,0,0,0.21,4.68
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
