stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell
24hpf,3,9,1,0,1,4,2,7,1,27,0,0,0
72hpf,0.28,0.28,0,0,0,7.05,0,0.28,1.13,0.56,0.28,0,0.56
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37
22Month,0,0.14,0,0.41,0,0,0,0,0,0,0,3.01,0
