stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,1.11,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0
3Month,13,0.1,0.31,0.83,0.83,0.62,0.1,12.07,0.21,0.1,0,0,0.1,0.1,0.1,0.1,0.1
22Month,0.68,0,0.14,1.91,0.27,0,0,0.68,0.27,0.27,0.14,0.14,0,0,0,0,0
