stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0,1.41,1.69,0,0.28,0,0,0,1.41,0.28,0,0
21Day,0,0,1.11,0.37,0,0,0.37,0,0,0,0.37,0,0,0,0.74,1.11,0,0,0,0.37,0.37,0.74,0,0,0,0.37,0.37,0,0,0
3Month,0,0.21,5.93,0.1,0,0.1,0,3.22,0.62,0,2.6,1.46,1.35,0.52,1.04,0.73,0.31,0.21,0.21,0.62,0,0.31,0.1,0.1,0.21,5.2,0.1,0,59.71,0.73
22Month,0,0,2.05,0,0,0,0,2.05,0,0,0.27,0,0.55,0.14,0.55,0.41,0.14,0.41,0.14,0,0,0.14,0,0.14,0,1.64,0,0,0,0
