stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,1.69,0,0.28,0,0,0,2.25,0.28,0,0.28,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0.37,0,7.77,0,0.37,0,0,0,0.74,0,0,0,0,1.85,0.37,0,0,0
3Month,0,0,2.08,0,0.21,0.1,0,2.6,0.73,0.21,0.52,0.1,0.73,0.62,1.04,0,0.1,0.21,0.31,0,0.21,0,0.1,32.25,0.1,0.1,15.19,0.52
22Month,0.14,0.14,1.5,0.14,0,0.68,0.14,12.3,0,0.14,1.09,0,0,0.27,0.96,1.23,0.14,0,0,0,0.14,0,0.14,12.16,0,0,0.27,0.14
