stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0.74,0,0,0,0,0,0.37,8.14,0,0,0.37,2.22,0.74,0,0,0,1.11,0.37,0,0,0.37,0.37,0,0,12.95
3Month,0,0,0.1,3.74,0,0,0.21,3.02,0,1.04,24.44,0.1,0.31,0.31,0.31,3.54,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0.21,0.31,0.1,8.01
22Month,0.14,0.41,0.14,0.68,0,0.14,0,10.8,0.14,3.83,12.71,0,0.27,0,0,5.74,0.27,0,0.14,0,0.14,0,0.14,0.14,0,0,0,0,8.61
