stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,1.69,0.28,0.28,0,0,0.56,0,0,0
21Day,0,0,0,0.74,0.74,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0.74,0,0,0,0,0.37,0,0,0
3Month,0,0,0,0.42,0,0,0,0,0.1,0.1,0.1,0,0.21,0,0.21,0,0.1,0,0.1,0,0,0.52,0,0,0,0.31,0.1
22Month,0,0.27,0.14,0.68,0,0.14,0.27,0.14,0,15.99,0,0.14,0.14,0.14,0,0.41,0,0.14,0,0,0,0.41,0.14,0,0.14,0,0
