stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0,0,1.41,0.56,0,0,0,0,0,0,0,0.85,2.25,0.28,1.41,0,0,0,0.28,7.05,0.85,0.28,0,0,1.13,0,0.28,0.28,0,0.56,0,0,0
21Day,24.42,0,0,4.07,1.48,1.11,0,0,0.74,0,1.48,0,0.37,1.85,0.37,6.29,0,0,0,0,7.4,0.74,0,0,0,2.22,1.85,0,0.37,0,0,0,0,0
3Month,2.29,0.31,0,3.43,1.77,0,0.21,0.52,3.22,1.04,0.1,0.83,0.62,3.33,0.73,1.66,0.42,0,0.62,1.77,0.52,0.1,1.04,0.1,0,0.21,0.42,7.39,0,0,0,0.1,2.7,0.94
22Month,0.82,0.55,0.41,0.82,0.96,0,0.14,0.96,9.7,0.27,0.41,1.5,0.14,1.09,0.68,1.37,0,0.14,0.27,0,0.41,0,1.09,0,0.14,0,0,6.7,0.27,0.41,0.14,0,0,0
