stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,1.13,0,1.13,0,0.85,0,0,3.1,2.54,0,0.28,0,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0,0,2.22,0.37,0.37,0,0.37,0,0.37,0,0,0,0,0.37,0.37,0,0.74,0,1.48,0,0,0,0,1.48,0.74,0,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0.31,0,4.47,0,0,0.1,0,0.31,0.42,0,0,5.1,1.14,0.1,2.5,0.42,0.62,1.14,1.35,0.42,0,0.1,0.21,0.73,0,0.31,0,0,0.21,0.21,4.16,0,0,0.21,2.18,0.83
22Month,0,0.14,0.14,0.68,0,0,0.14,0,0.96,1.37,0.27,0,10.39,0.41,0.68,1.37,0,0.14,1.23,1.09,0,0,0.27,0,0.14,0,0.14,0.27,0.14,0,0,0.68,0.27,0,0,0,0.27
