stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,8,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,35,0,0,5,0,0,0,1,0,0,0
72hpf,0.85,0.28,1.69,1.69,0.28,0,0.28,0,0,0.28,0,0,0,0.56,4.79,0.28,3.38,0,0.28,0,4.79,6.48,0,0,3.1,0,0,2.54,0.56,0,0,0
21Day,0.37,0,2.22,1.11,0,0,0.37,0,0,0,0,0.37,0,0,2.22,0,1.85,0,0,0.37,1.48,1.11,0,0,1.48,0,1.85,0.74,0,0,0,0
3Month,0,0.1,5.2,0.21,0,0.1,0,0.21,0.52,2.5,0.31,0,0.62,1.66,0.42,0,2.18,0.83,0,0.1,0.73,0.21,0.62,0.1,0,0.21,26.11,0,0,0.21,63.14,0.42
22Month,0,0,0.55,0,0,0,0.14,0,0,0.41,0,0,0.14,0.14,0,0,0.14,0.14,0,0,0.27,0,0.14,0,0,0,3.42,0,0,0.14,0.14,0
