stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0.28,0.28,0,0,1.13,0,0
21Day,0.37,0.37,0,0,0,0,0,1.11,0.37,0,0.74,0,0
3Month,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0.21,0.31
22Month,0,0,0.14,0.14,0.68,0.14,0,0.14,0,0,0,0,0
