stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.2,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0.56,0,0,0,0,0,0
21Day,2.59,0,0,2.59,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,1.77,0.1,0,0.62,0,0.1,0.52,1.25,0.1,0,1.14,0.1,0.21,0.1,0.42,0,1.35,0,1.14,0,0.1,0.73,0.31
22Month,0.68,0,0.14,0.82,0,0,0.68,5.74,0.14,0.14,0.41,0,0.14,1.09,0.82,0.14,0.41,0.14,0.41,0.14,0,0,0.41
