stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,0,0
21Day,0,0,3.33,0,0.37,0,0,0,0,0,0.37,0.37,0,5.18,2.59,0.37,0.37,0,0,0,0.37,0.37,0,0,0,0,1.85
3Month,0.52,0.31,4.58,0.1,0,1.46,1.56,0.1,1.46,4.06,0.31,5.72,0.1,0.73,3.22,0.83,0.52,0.1,0.1,0.1,0.1,0,0.31,0,1.98,0.21,6.55
22Month,1.09,0.27,1.64,0,0,0.68,1.78,0,2.05,0.55,0,4.24,0,0.27,4.65,0.55,0.55,0,0,0,0,0,0,0.14,0.55,0,2.46
