stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,32,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0,1.69,0.56,0,1.41,0,0.28,0,0,3.66,7.61,0,0.85,0.28,0,1.13,0,0.28,0,0,0
21Day,2.96,0.37,0.37,29.23,0,0.74,0,0.74,0,0,0,2.22,0.74,2.22,2.22,0.37,5.92,0.37,9.25,0,0,0.37,0,2.59,4.44,0.74,2.59,10.73,0.37,0.37,0.74,0.37,0,0,0
3Month,0.1,0,0.83,48.16,0,0,0.42,0.1,1.87,1.25,0,26.52,0.73,0.62,17.27,0.73,16.12,1.35,3.74,0.52,0,0.21,1.14,0.31,0,0.62,0.21,1.66,2.7,0,0,0.1,0.31,0.52,1.56
22Month,0.14,0.96,0.68,4.1,0,0,0.14,0,0.55,0.82,0.41,33.48,0.14,0.41,4.37,0,1.37,0.27,1.37,0,0.96,0.14,0.14,0,0.27,0.14,0.14,0.14,0,0,0,0,0,0,0.14
