stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0.28,0,0,0,0,0,0,1.69,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0.37,0.74,0.74,0.37,0.37,1.11,0,0,0,0,11.1,0.74,0.37,0.74,0.74,0,0.37,0.37,2.59,0,0,0.37
3Month,0.1,1.04,0,0,0.1,0.52,0,0.94,0.21,0.1,0,0.62,0.52,0.42,0.1,0.42,12.17,0.83,0,0.62,0,0,0.73,0,0,0.31,0.1,0.1,1.66
22Month,0,0,0,0.14,0,0,0.41,1.23,0,0.27,0,0,0.68,0,0,0,0.14,0.27,0,0,0.14,0,0.27,0,0,0,0,0,0.55
