stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.85,0.85,0,0,0,0,0,0,0,0.28,0,0,0.28,0.28,1.69,0,0,0,6.76,4.23,0,0,0,0.85,0,0,0.56,0.28,0,0,0
21Day,0,0,0,1.11,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0,0,4.07,1.85,0,0.37,0,0,0,0,0,0.74,0,0,0
3Month,0.1,0.52,0.1,6.45,0,0.1,0.1,0.42,1.46,0,9.88,1.04,0.21,3.22,0.73,3.12,1.87,4.06,0.83,1.56,0.62,0.62,0.21,0.42,0.1,0,0.1,0.1,3.85,0.21,0,1.04,2.6,1.04
22Month,0,0.14,0,0.14,0,0,0,0,0.14,0.27,3.55,0.14,0,0.14,0,0,0.14,0.41,0,0.14,0,0,0,0,0.14,0.14,0,0,0.14,0,0.14,0,0,0
