stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,4.23,0.56,0.28,0,0,0,0.28,0.85,0.56,0,0,0,0,0.56,0,0,0
21Day,0.37,0,1.48,0.37,0,0,0,0,0,0,0.37,3.33,0,0,0.37,0,0,0,0.74,0.37,0,0,0.37,0,0.37,0,0,0
3Month,0,0.42,3.33,0,0.1,1.66,0.31,0,3.95,0.1,1.46,5.3,0.42,0.31,0.31,0.1,0,0.73,0,0,0.62,0.1,0,1.77,0,0.31,0.52,0.31
22Month,0,0.96,0.41,0,0,0.41,0.14,0.14,3.42,0,0.68,0.55,0,0.14,0,0,0.41,0,0,0.14,0.27,0.14,0,0,0,0,0,0
