stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0.56,0.56,0,2.54,0,0.28,0,0,21.98,5.92,0,0,3.95,0,0,0.85,0,0,0,0
21Day,0.37,0.37,0,2.22,0.74,0,0,0,0,0,4.07,0.37,0.74,2.96,0.37,2.22,0,0,0.74,0,6.29,1.11,0,0,1.48,0.74,0,1.11,0.74,0,0,0.74
3Month,0,0.73,0.21,2.08,0,0.1,0,0,1.04,0.42,0.31,0.73,0.1,0.83,0.42,2.91,0.83,0,0.42,0.21,0,0,0,0.1,1.14,0,2.7,0.1,0,0.31,0.21,0.52
22Month,0,0.27,0.14,0.68,0,0.14,0.27,0.27,2.6,0.14,0,0.55,0.55,0,0.41,0.55,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.27
