stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,25,7,0,57,2,0,2,0,1,2,1,0,0,0,4,6,7,54,0,0,0,0,26,577,0,0,0,15,0,0,2,0,0,3,0,0,0
72hpf,27.9,12.12,0,53.27,11.56,28.75,0.56,0,0.56,0,0,0,0.28,0.56,9.86,126.83,5.36,252.25,0,1.13,3.38,0,2222.65,353.16,2.82,2.82,0,240.7,0.28,0.85,36.36,1.41,1.13,10.99,0,0,0
21Day,15.54,2.59,1.11,36.63,2.96,21.09,1.85,0,1.11,0,2.22,1.85,5.18,5.18,3.7,34.41,4.44,387.75,0,0,7.4,0,543.51,45.88,2.96,3.33,0,110.63,23.31,0.74,7.77,5.55,7.03,2.59,0,0,4.07
3Month,0.31,0.73,0,3.95,0.1,0,0.21,0.21,0.83,0,3.12,0.83,0.52,0.52,1.25,3.33,0.1,8.11,2.29,0,0.31,0.1,0.83,0.21,3.22,3.12,0,0.42,0.1,8.95,1.14,0,0,0.31,0.52,9.05,0.52
22Month,0.27,0.55,0.27,2.19,0,0,0,0,0.96,0,6.83,0.55,0.41,0.68,0.41,0.41,0.96,5.33,0.82,0.41,0.41,0,0.82,0.14,2.46,4.24,0.27,0,0,4.24,3.42,0.14,0,0,0,0,0.14
