stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,1,1,4,2,0,0,1,0,9,0,3,59,2,0,2
72hpf,0,0.28,0.56,0,0,0,0.85,0,0.56,0,1.41,0.56,0,0,0
21Day,0.74,0,0.37,0,0.37,0.74,0,0.37,1.48,0,0,0.74,0.37,0.37,0
3Month,0,0,0,0,0.21,0,0.21,0.1,0,0.1,0,0,0,0,0
