stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.1,0.1,15.6,0.42,0.21,1.98,0.21,0,0.42,0.42,1.66,0.31,0.52,0.31,0.21,0.21,0.1,0.1,0,0.62,0.1,0.1,0.42,0.21
22Month,0,0.14,0.96,0.27,0,1.37,0.14,0.14,0.55,0.14,0.14,0.14,0.68,0.14,0.14,0,0,0.14,0.14,0,0,0,0,0
