stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0.28,0.85,0,0,0,1.41,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0.74,0,0,0,0,0,0,2.59,0,0,0,0.74,0.74,0,0,0,1.11,0.37,0,0,0.37,0,0,0,0,0,0,1.11
3Month,0,0.1,1.14,0.1,0,0.1,0.31,1.25,0,3.64,2.91,0.21,0.42,0.31,0.1,22.68,0.31,0.1,0,0.31,0,0,0,0,0,0.31,1.35,0,0,0.1,0.62,1.25
22Month,0,0,0.27,0,0,0,0.14,1.23,0.14,6.15,0.55,0.27,0.41,0,0,8.06,0.55,0,0.27,0,0,0,0.27,0.41,0.14,0.14,1.09,0.14,0.14,0.14,0,0.41
