stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,3.38,0,0,0,0,0,0,0,0,0,1.41,0,0.56,0,0,0,0.28,4.23,6.48,0.85,0,0,0.28,0,0,0.56,0,0,0,0,0
21Day,0,0.37,0,3.7,2.22,0,0,0,0,0,0,0,0,0.74,1.11,0,0.74,0,0,0,0,1.85,0.37,0.74,0,0,0,0,0.37,0.37,0,0,0,0,0
3Month,0,0.31,0.31,56.27,1.77,0.21,0.52,1.25,0,7.49,2.5,0.1,3.02,10.3,2.39,1.87,1.66,0.52,0.1,0.62,2.18,8.43,0.31,2.18,0.31,0,0.42,1.35,42.54,0.42,0.1,0.83,0.52,200.75,1.46
22Month,0.14,0.41,0.14,20.77,0.55,0,0.27,1.09,0.82,17.22,0.82,0.68,1.64,1.78,0.68,1.23,1.64,0.14,0.41,0.14,0.27,1.78,0.14,2.05,0,0.27,0.27,0.27,14.07,0.41,0,0.14,0,0.55,0.41
