stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,10,1,0,10,0,0,0,0,0,1,1,0,0,0,0,2,4,2,19,0,0,0,0,7,1076,0,0,19,0,0,0,0,0,1,0,0
72hpf,8.17,0.85,0,1.97,0.56,4.23,0,0,0,0,0,0,0,0.28,0,0.56,6.76,0.28,12.97,0,0.28,0.56,0,251.97,214.2,0,0.56,33.54,0.56,0,24.8,0,0.85,2.82,0,0
21Day,7.4,0.74,0.37,2.96,0,4.44,0,0,0,0,0,0,0,0,1.48,0.74,2.22,0.37,14.8,0,0,0.74,0,104.71,111,0.37,0.74,19.98,5.55,0,18.13,0.74,1.11,1.11,0,0.74
3Month,0.21,0.1,0,1.04,0,0,0.1,0,0.31,0,0,1.77,0.31,0.1,0.52,0,0.1,0.31,1.56,0.1,0,0.1,0.1,0.73,1.56,0,0.1,0,0.1,0.73,0.52,0,0,0.83,0.1,0.1
22Month,0,0,0,0.41,0,0,0.14,0.14,0.41,0.14,0,2.6,0.14,0,0,0,0.14,0.27,1.23,0,0,0.27,0,0.68,1.5,0,0.14,0,0,0.96,0.68,0,0,0.14,0,0
