stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,31,8,0,15,0,1,0,0,0,0,0,0,3,1,1,101,0,0,0,0,12,199,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.97,1.41,0,0.85,0.85,0,0,0,0,0,0,0,1.13,2.54,0,12.97,0,0,0,0,60.88,17.76,0,1.69,13.25,0,0,10.71,0,0.28,0,0,0
21Day,9.62,0,0.37,1.48,0.37,0,0,0,0.37,0,0.37,0.37,0,1.11,0,21.83,0,0,1.11,0,1.85,1.48,0,0,9.62,0.74,0,2.22,0.74,0,0,0,0.37
3Month,0.1,0.42,1.66,3.74,0,0,0.73,0.42,3.33,0.42,0.1,10.82,0,0.21,0.31,8.43,0.1,0,0.94,3.64,0.1,0,1.14,0.1,0.1,0.21,5.93,0,0,0,0.31,1.04,0.31
22Month,0,0,0.68,2.46,0,0,0.82,0.41,4.37,0,0,6.83,0,0.14,0.27,2.87,0,0.41,0.27,0.14,0.14,0.14,0.14,0.14,0,0.27,2.87,0.27,0,0,0,0,0
