stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,109.64,0.85,0,1.41,0.56,1.13,0,0,0,0,0,0,0,0,0.28,1.69,0.28,3.1,0,0,0.28,0.28,11.56,4.79,0,2.54,0,0,0.85,0,0,0,0,0
21Day,75.11,0,0,5.92,0.37,2.22,0.74,0.37,0,0,0,0.37,0.37,0.74,0,2.96,0.37,3.33,0,0,0.74,0,1.48,1.48,0.37,0.74,1.11,0,0,0.37,1.11,0,0,0.74
3Month,7.28,0.42,0,1.46,0,0,0.1,2.5,0.42,0,3.85,0.21,0.21,0.94,0.1,0.83,0.62,0.94,0.42,0,0.52,0,0,0,0.1,0,0,0.83,0.1,0,0,0.31,0.73,0.1
22Month,4.37,0.41,0.41,1.09,0,0,0.14,3.14,0.96,0.55,22.27,1.09,0.41,2.19,0.14,0,0.82,0.68,0.14,0.55,0.14,0,0,0,0.27,0.14,0,1.37,0,0,0,0,0,0.27
