stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0,0,0,0,0,0,0,0,0.56,0,0,0.56,1.13,0,0,0,0,0.85,0,0,0
21Day,0.37,0,2.59,0,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.1,4.89,0.1,0.1,1.66,0.42,0.52,0.1,5.1,0.21,0.1,0.1,0.1,0,0,0,0.1,0.1,0.62,0,0.21,3.64,0.31
22Month,0,0,0.14,0,0,2.46,0,0.14,0,0.55,0.14,0.14,0,0,0.14,0.14,0.27,0,0,0,0,0,0,0.27
