stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,14,0,5,0,0,0,27,2,0,0,0,0,0
72hpf,0.28,0.28,0,1.97,0,0,0,0,0,0,0.56,27.62,0,2.54,0,0.28,1.97,6.48,2.54,0,0,0.28,0.28,0
21Day,3.33,0,0.37,2.22,0.37,0,0.74,0,1.11,0.37,0.74,1.48,0.37,3.7,0,0.74,0.37,2.22,4.44,0.74,0,0.37,0,0.37
3Month,0,0,0,0.31,0,0.1,0.21,0,0,0,0,0.21,0,0.1,0,0,0,0,0,0,0.21,0,0,0
22Month,0,0,0,0.14,0,0,2.87,0.27,0,0.68,0,0,0,1.09,0.14,0,0,0,0,0,0.41,0,0,0
