stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,0.28,0,0,0.28,0,0,0,0,0,0,1.69,0,0.28,0.56,0,0.28,3.95,0.85,0,0,1.13,0,0.56,0,0,0
21Day,0.37,0.74,0,0.74,0.37,0.37,0.37,0,0.37,0,0,3.33,0.74,0,0.74,0.37,1.48,0,0,1.85,0.37,0,0,1.85,0.74,0,0.37,0,0.37
3Month,0,0.94,0.1,1.66,0,0,0,0.1,0.52,0.31,1.35,1.66,2.08,0,0.31,0.83,1.25,0.1,0.1,0,0,0.1,1.14,0.1,1.77,0,0,0.1,0.42
22Month,0,0.82,0,0.14,0,0,0,0,0.41,1.91,3.01,0.96,0.14,0,0.14,0.14,0.27,0,0,0,0,0,0.55,0,0.96,0,0,0,0
