stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,0.37,0,3.7,0.37,0,0,0,0
3Month,0.1,0.1,0.62,0,0.21,0,0,0,0.1,0,0.1
22Month,0.27,0.41,1.37,0,0,0,0,0.14,0.14,0.14,0
