stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.85,0,1.97,0,2.82,0,0,0,0,0.28,0,0,0.85,12.68,3.1,0.56,3.1,0,0.28,0,257.61,15.5,0.28,0.56,4.79,0.28,0,1.97,0,0,0.28,0,0
21Day,2.59,0,6.66,6.66,0.37,6.66,0,0,0.37,0,1.48,0,1.11,67.71,0.74,4.44,1.11,7.77,0.37,0.37,1.11,126.17,9.62,0.37,0.37,3.33,5.55,0.37,1.85,1.11,1.85,0.37,0,0.37
3Month,0,0.1,0.31,1.66,0,0,0.31,0.73,0.1,0,4.16,0.31,0,29.33,0.1,0.52,0.42,0.52,0.1,0,0.1,0,0.1,0,0.1,0.1,0.31,0.62,0,0,0,0,0.31,0.42
22Month,0,0.27,0.55,0.14,0,0,0.14,0.55,0.41,0.14,10.25,0.14,0,17.76,0,0.14,0.96,0.41,0,0.14,0.27,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0
