stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0.37,0.37,1.85,0.37,0,0,0.37,0,0,0
3Month,0,0.62,0,0,0.83,0.62,0,0.21,0.1,0.1,0.42,0,0,0,0.1
22Month,0.14,0.14,0.14,0.14,1.64,0.96,0.14,0,0,0.14,0,0,0.14,0.14,0
