stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,0,0,1.97,0.56,0,0.28,0,0,0,0,2.82,0.56,0,0,1.13,0,0,0.28,0,0
21Day,0,0.37,5.55,0,0,0,0,0,0.37,0,0,2.59,0,1.48,0,0,0.37,0,1.11,0,0,0,0.37,0.37,0,0,0,0.37
3Month,0.1,0,3.33,0.1,0,0,0.52,0,0,0.21,0,0.42,0.1,0.31,0.21,0,0.1,0.21,0,0,0,0,0.21,0,0,0,0.52,0.1
22Month,0.82,0.41,3.01,0.14,1.5,1.91,13.25,1.23,0.41,0.68,0.27,0.41,1.09,4.1,0.14,0.27,0.27,0,0.14,0,0.14,32.11,0.14,0,0.14,0,0,0.41
