stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.28,0.28,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0.37,3.7,0,0.37,0,0.74,0.37,0,0,0,0,0,0.37,0,0,2.22,0.74,2.59,0,0,0,0,1.11,1.11,0,0,0.74,0,0,0.37,0,0,0,0
3Month,0,0.52,0.31,4.78,0.1,0,0.1,0.1,4.58,2.5,0,0,12.59,3.54,0.21,3.12,0.42,1.66,2.7,2.7,0.83,0,1.04,0.42,0.1,0,0.52,0.21,0,0.31,3.54,0.1,0.1,0.31,2.5,2.29
22Month,0,0.82,0.14,1.5,0,0,0,0,1.37,5.06,0.55,0,13.25,0.68,0,3.55,0.27,0.27,4.37,2.05,0,0.41,0.55,0,0,0,0.27,0,0,0,0.41,0.14,0,0.41,0,0.55
