stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,1.41,0,0,0,0,0,0,0.85,0.85,0,1.13,0,0,0,18.32,5.36,0,0,0.85,0,0,0.28,0,0,0,0
21Day,0.74,0.37,1.11,0,0.74,0.37,0,0,0,0,0.74,0,0.37,0.74,0.74,0,0.37,0,25.16,0.74,0.37,0,1.48,0.37,0.37,0,0.37,0,0,0
3Month,0,0.31,1.56,0.21,0,0,0.21,0.1,0.83,0.21,0.83,0.42,0.52,0.21,0.52,0.42,0.31,0.21,0.21,0,0.1,0,0,0.21,1.98,0,0,0,0.1,0.52
22Month,0.14,0.27,0.41,0.14,0,0,0,0.41,4.78,0.14,1.78,0.41,0.41,0.41,1.09,0,0,0,0.14,0,0,0.14,0,0,0.82,0,0,0.14,0.14,0
