stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,1,0,0,0
21Day,0,0.37,0,0,0.37,0.37,0,0,0,0
3Month,0,0,0.1,0,0.1,0,0,0.21,1.77,0.21
22Month,0.14,0,0.96,0,0,0,0,0,0,0
