stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,1.13,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.74,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.31,0,0.94,0.42,0.31,0.1,0.1,3.43,0.1,0.1,0.21,0.62,0.42,0.62,0,0.21,0.31,0.1,0,0.1,0.1,0,0.94,2.29,0.1,4.47,1.56,0.42
22Month,0,0.27,0.14,0.41,0.14,0.14,0,0,8.34,0.55,0.14,0.68,0,0.27,0.68,0.55,0.14,0,0,0.14,0.14,0,0,0,0.82,0,0.41,0,0
