stage,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0
72hpf,0.28,4.51,0,0.28,0.28,0
21Day,0,2.59,0.37,0,0,0.37
