stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,1.48,0,0,0.37,0,0,0,0,0,0
3Month,0.42,0.1,0.62,0,0.31,0.52,0,0.31,0.1,2.6,0.21,0,0.21,0,0.21,0.1,0,0.1,6.76
22Month,0,0,1.23,0.14,1.64,0.27,0.14,0,0,1.64,0.14,0.14,0,0,0,0,0.55,0,4.37
