stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,14.37,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0.56,0,0.28,0,0,0,0,0,0
21Day,7.77,0.37,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,8.84,0.83,0,0.21,0,0.62,0.21,0.31,0,0.21,0.42,0.1,0.21,0,0,0,0,0.1,2.91,0.1,0.31,0.42,0.1
22Month,6.83,0.14,0,0,0.14,2.05,0.14,0.14,0.14,0,0,0.27,0,0,0,0.41,0,0,0.41,0,0.27,0,0
