stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,7,0,0
72hpf,0.28,0,0.28,0,0.28,0.28,1.13,1.41,0.85,0.28
21Day,0,0,0,0,0,2.59,1.48,0,0.37,0
22Month,0,0.14,0,0.55,0,0,0,0,0,0
