stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
72hpf,0,0.56,0.28,0,0,0,0,0,0.56,0,0,0.28,0.56,0,0,0
21Day,0.37,0.37,0.37,0,0,0,0,0,0.37,0,0,1.11,0.74,0,0.37,0
3Month,0,0.21,0,0.1,0.31,0,0.1,0,0,0.1,0,0,0,0.1,0,0.1
22Month,0,0,0,0.14,1.09,0.14,0,0.14,0,0,0.14,0,0,0,0,0
