stage,Endothelial_cell,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,2,1,1,3,0,28
72hpf,0.28,0.28,0,0,0.28,0.28,0.85
21Day,0,0,0,0,0.37,0,0.74
