stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0.62,0.21,1.56,0.1,0.1,0.21,0.31,0,7.18,0.1,0,2.6,0,1.04,0.52,0.52,0,0.1,0.31,0.1,0,0.1,0,0,4.78,0.1,0.1,0.1,0.1,1.66,0.42
22Month,0,0.96,0.41,0.55,0,0,0.27,0.27,0.14,16.53,0.14,0.41,4.51,0.27,0.14,0.55,0.41,0.82,0.27,0,0,0,0.27,0.27,0,0.55,0.14,0.14,0,0.27,0,0.14
