stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.85,0.28,0,0,2.25,0.56,0,0.28,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,2.22,1.11,0,0,0,0,0,0,0
3Month,0.1,0,0.21,0.1,0.21,0,0,0.1,0,0,0,0,0,0,0.21,0,0.42,0
22Month,0.14,0.14,2.32,0,0.14,0,0.14,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0.14
