stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,4.79,0.56,0,0.28,0,0.85,0,0.85,1.41,0,0.28,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0.37,0.74,0,0.74,0,0.37,0,0,0,2.22,0,0.37,1.85,0.74,0.74,0,0.37,0,0,0,0,0.74,0.37,0.37,0,0,0.37,1.11,0.74,0,0,0,0
3Month,0.1,0.52,1.35,15.29,0.1,0,0.31,0,11.65,0.42,0,70.11,1.56,0.21,27.15,2.18,0.62,1.25,1.04,0.62,0.21,3.74,5.1,0,0.21,3.33,0,0,0.1,1.77,1.77,0,0.42,0.62,0.42
22Month,0,0.55,2.6,8.47,0.14,0,0.14,0,3.69,1.78,0.41,170.68,0.96,0.27,21.86,0.41,0,0.68,1.23,0,3.96,1.78,0.27,0,0,1.64,0.27,0.55,0,0.27,4.51,0.14,0,0,0.55
