stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,3.1,0,0,0,1.13,0.85,5.07,0.28,0
21Day,0.37,0.37,0,0,0,0,0,0,14.06,0,0,1.85,0.37,0,2.96,0,0
3Month,0,0.1,0.1,0,0.42,0.1,0.21,0.1,3.33,2.7,0,0.94,0,0.1,0.21,0,0.1
22Month,0.14,0.41,0,0.41,0.55,0.82,0,0.14,9.02,0.14,0.14,0.96,0,0.14,0,0,0
