stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,3,0,0,1,0,0,1,0,0,0,0,0,0,69,0,0,0,6,9,0,0,0,0,0
72hpf,9.3,0,0.85,0,0,0,0,0,0,0,0,0.56,0,0,1.97,0,0.28,0.28,2.82,0.85,0,0,0.28,0,0
21Day,10.36,0.74,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0.74,0,0,1.11,0,0,0.37,0,0
3Month,6.87,0.94,0,0,0,0.1,0.1,0,0.83,0,0.42,0,0.1,0.21,0.21,0,1.25,0,0.1,0.1,0.1,0.1,0,0.31,0.1
22Month,7.52,0.41,0,0,0,0,0.14,0,2.87,0.41,0.41,0,0,0.14,0,0.14,2.05,0,0,0,0,0,0,0,0
