stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.13,0.85,0,0,0,0,0,0,0,0,0.85,0.56,2.54,1.41,0,0,0,0.28,17.47,10.71,0.28,0,0,11.84,0,0,0.28,0,1.41,0,0,0
21Day,1.11,0,0.74,8.51,0,0.37,0.37,0,0,0.37,0,0.37,0,0.74,4.44,1.11,3.7,0,0,0.74,0.37,10.73,6.66,0.37,0.74,0,7.4,1.48,0,2.22,0,0,0,0,0.37
3Month,0,0.1,0.1,9.57,0.1,0,0,0.42,0.1,4.26,0.21,0.1,0.52,0.62,0,1.14,0.31,0.1,0.1,0.1,3.02,0.52,0,0.73,0,0,0.21,0.1,2.5,0.1,0,0,0.21,0.31,0.42
22Month,0,0.55,0,7.52,0,0,0,0.55,0.41,8.2,0.68,0.27,0.82,0.41,0.14,2.87,0.41,0,0.14,0,0,0.27,0,0.82,0,0.14,0,0,0.96,0,0.14,0,0,0,0.41
