stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.28,0,0.28,0.28,0,0,0.28,0,0,0,0,0.28,0.85,0,0.56,0,0,0,4.23,3.1,0,0,0,0.28,0,0,0,0,0
21Day,3.7,0,0.74,0,0.37,0,0,0.37,0,0,0.74,0,0,0.74,0,1.11,0,0,0,1.85,0.37,0,0.74,0,0.37,0.37,0.37,0,0,0
3Month,0.52,0.1,2.18,0,0,0,0.42,1.35,1.25,1.35,0.21,1.35,0.1,0.31,0.31,0.42,0,0.31,0.21,0.1,0,0.52,0,2.18,0,0,0,0.21,1.87,0.83
22Month,0.27,0,0.55,0,0,0.14,0,0.68,3.28,0.14,0.68,1.37,0,0,0.41,0.27,0.27,0.14,0,0,0,0,0,2.6,0.41,0,0,0,0,0.27
