stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,1.69,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,16.65,0.74,0,0.37,0,0,0,0.37,0,0.37,0.37,2.96,25.53,0,1.11,0,0,0,0,1.11,0.74,0,0,0,0.37,0,0,0.74,0.37,0,0,0,0.37
3Month,0.1,1.14,16.75,0,0,0,5.82,1.46,0,5.2,1.35,1.25,20.49,1.46,2.7,4.06,0.52,0.1,0,2.6,0.52,0.31,0.1,1.14,0.1,0,0,0.31,0.62,0,0,0,1.25,0.31,10.61
22Month,2.87,1.78,13.66,0,0.27,0.55,4.51,6.56,0.55,18.31,0.68,2.46,25.69,0.27,1.37,7.38,1.23,0.14,0.14,2.73,0.14,0.55,0.14,0.68,0.14,0.14,0.14,0.14,0.55,0,0,0.14,1.09,0,6.42
