stage,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage
21Day,0.37,0,0,0,1.11,0.37,1.48,0.37
3Month,0,0,0,0,0.21,0,0,0
22Month,0.14,0.14,0.14,0.27,1.37,0,0,0
