stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0.28,0.28,0,0.28,19.17,5.92,0,0,0.28
21Day,0,0,0,0,0,0,0,0,0.37,0,0.37,5.18,3.7,0.74,1.11,1.85
3Month,0,0.21,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
22Month,0,0.14,0,0,0.14,0.55,0.14,0,0,0.14,0.41,0,0,0,0,0
