stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0
72hpf,3.38,0.85,0,1.41,0,1.97,0,0,0,0,0,0,0,0,1.13,3.38,0,1.97,0,0,205.75,31.29,0,3.1,2.82,0,0,9.02,2.25,0.56,0,0,0
21Day,1.11,0,0,1.48,0,1.48,0.37,0,0.37,0,0,0,0.37,0.74,0,1.48,0,2.96,0,0.37,65.49,11.47,0.37,2.22,0.74,2.22,0,7.03,2.22,1.85,0,0,0.74
3Month,0.1,0,0,0.1,0.21,0,0,0.1,0.1,0,0.52,0.1,0.1,0.21,0.1,1.14,0.21,1.66,1.14,0.1,2.6,0.31,0.1,0.31,0.31,0.21,0.21,0.52,0.1,0,0.42,0.1,0
22Month,0,0,0.14,0.41,0.27,0,0,0,0.41,0.55,1.5,0,0,0.55,0,0.55,0.41,2.32,0.68,0.14,2.05,0,0.27,0.41,0.14,0,0.82,0.41,6.01,0,0.14,0,0
