stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,6,0,0,1,0,9,203,0,0,0,0,1,0,0,0,0,0
72hpf,0.85,0,1.13,0.28,1.69,0.28,0,0,0,0,0,0,0,1.13,2.82,0.28,2.25,0,0.28,0,0,100.34,74.69,0.28,1.41,0,0,10.15,0,0.28,0.28,0,0
21Day,0.37,0.37,3.7,0,1.11,0,0,0,0,0,0,0,0.74,0.37,0.37,0,2.59,0,0,0.74,0,29.6,27.75,0.37,0.74,1.85,0,7.4,0.74,0.74,0.37,0,0.74
3Month,0,0.1,1.35,0,0,0,0.31,0,0,0,1.25,0,0.42,0,1.14,0,1.35,0.21,0,0.1,0.1,0,0.73,0,0,0,0.73,0.42,0,0,0,0.21,0.31
22Month,0,0.14,0.41,0,0,0,0.27,0.82,0.27,0,8.75,0.14,0.68,0,0,0.27,1.09,0,0,0,0,0.27,0.55,0,0,0.14,0.82,0.14,0,0,0,0,0
