stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,1.13,0,0.28,0,12.68,0.28,0.28,0.28,0,0,0.28,0.28,0,0,0
21Day,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,4.81,0,0,1.11,0.37,0,0,0.74,8.14,0,0
3Month,0,0,0.21,0.62,0,0.1,0,0.94,0.21,0.31,0.1,0.1,0.21,0.21,0.1,0,0.21,0,0,0.31,0.1,0,0,0.1,0.21
22Month,0,0.27,0,0.82,0,0.27,0.14,5.33,0.14,0.27,0,0.41,0.14,0,0.27,0,0.27,0,0,0,0,0,0,0,0
