stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,40,0,0,1,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,2.82,2.54,1.69,0.28,0,0,0,0,0,2.82,5.36,0,4.51,0.56,0.28,20.29,10.71,0.28,0,2.25,0,0.28,0.28,0,0.28,0,0
21Day,2.22,1.48,1.11,18.13,0.37,3.33,2.59,0.74,0,1.11,4.44,0.37,2.22,6.66,1.11,11.1,0,2.59,12.21,6.29,0,0.37,2.96,2.96,0.37,0.37,0.74,0.37,0,2.22
22Month,0,0.55,0.27,0.55,0,0,0,0.14,0.14,1.91,0,0.27,0,0,0.41,0,0,0.27,0.14,0,0,0,0,0,0.27,0,0,0,0.14,0
