stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.97,0,5.36,11.56,0.28,0,0,0,0,0,0,0,1.97,1.97,0,0.85,0,0.28,0.28,0,32.69,14.94,1.97,0,2.25,0,0.28,11.84,0.56,0,0,0,0
21Day,1.11,2.59,0,5.18,7.77,0.74,0,0,0,0,0,0,0,0.37,2.96,0,3.7,0,0,0.37,0,11.47,4.07,2.22,0.74,0.74,0.74,0.74,2.96,1.11,0.37,0,0,0
3Month,0,0.21,0.21,30.37,1.04,0,0.1,0.94,1.04,0,7.91,1.77,2.91,4.26,1.04,1.35,2.08,0.31,0.1,0.42,1.14,5.2,0,3.12,0.52,0.31,0.62,22.99,0.21,0,0.52,0.42,164.66,1.56
22Month,0.14,0.82,0.14,15.44,0.27,0,0.14,0.41,0.14,0.27,8.61,0.55,0.96,0.41,0.55,0.41,2.73,0,0.27,0.27,0.27,1.91,0.14,2.87,0.14,0.14,0.14,14.48,0,0,0,0,0.41,0.27
